videoID,question,options,answer_letter,answer_text,answer_num,frame_reasoning
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",E,one,1,"['1', '1', '1', '1', '1', '1', '1', '1']"
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",A,eight,8,"['1', '4 goats', '5 goats', 'there are 3 goats in the picture', '3 goats', 'there are 3 goats in the picture', '4 goats', '3 goats']"
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",C,five,5,"['there are 3 people involved', 'there are 4 people involved in this scene', 'there are 3 people involved in this scene', 'there are 4 people involved in this frame', '5 people are involved in this frame.', 'there are 5 people in this picture', 'there are 5 people in this picture', 'there are 4 people involved']"
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",B,six,6,"['4 people on stage', '6', '6', 'there are 5 people on stage', 'there are 5 people on stage', '5', '5', '5']"
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",B,five,5,"['5 people are posing for the photos', '5 people are posing for the photos', '5', '4 people are posing for the photos', '5 people are posing for the photos', '5 people are posing for the photos', '4 people are posing for the photos', '4 people are posing for the photos']"
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",C,two,2,"['there are 2 elephants playing with the ball', '2', 'there are 3 elephants playing with the ball', 'there are 2 elephants playing with the ball', 'there are 2 elephants playing with the ball', 'there are 2 elephants playing with the ball', 'there are 3 elephants playing with the ball', '2']"
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",C,six,6,"['1', '2', '2', '1', '1', '3', '2', '1']"
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",C,two,2,"['1 dog', '0', '1', '1', '1 dog', '2 dogs', '1', '1']"
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",E,two,2,"['2', '2', '2', '2', '2', '2', '2', '3']"
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",E,three,3,"['1', '1', '1', '1', '1', '1', '1', '1']"
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",D,one,1,"['1', '2', '0', '1', '1', '1', '1', '1']"
2978295992,how many ladies are filmed,"{'A': 'six', 'B': 'two', 'C': 'seven', 'D': 'five', 'E': 'four'}",B,two,2,"['2', '2', '1', '2', '2', '2', '2', '2']"
3388598772,how many people are mainly involved in the video,"{'A': 'four', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'one'}",D,two,2,"['3', '3 people are mainly involved in the video.', '3 people are mainly involved in the video.', '3 people are mainly involved in the video.', '2 people are mainly involved in the video', '3', '3', '3']"
4036955771,how many performers are there,"{'A': 'six', 'B': 'seven', 'C': 'eleven', 'D': 'eight', 'E': 'five'}",B,seven,7,"['there are 8 performers', '8', '8', 'there are 8 performers', 'there are 8 performers', '6', 'there are 8 performers', '10']"
6265968082,how many people are performing on stage,"{'A': 'four', 'B': 'one', 'C': 'five', 'D': 'three', 'E': 'nine'}",A,four,4,"['there are 4 people on stage', 'there are 3 people on stage', '1', 'there are two people performing on stage', 'there are 3 people on stage', '1', 'there are 3 people on stage', '2']"
11541421563,how many people are involved in reading the score,"{'A': 'six', 'B': 'four', 'C': 'eight', 'D': 'seven', 'E': 'two'}",E,two,2,"['4', '4', '4', '3 people are reading the score.', '4', '4 people are involved in reading the score', '4 people are involved in reading the score', '4 people are involved in reading the score']"
2573424030,how many people in total are there in the video,"{'A': 'six', 'B': 'one', 'C': 'two', 'D': 'five', 'E': 'seven'}",E,seven,7,"['there are 5 people in the video', 'there are 12 people in the video', 'there are 2 people in the video', 'there are 3 people in the video', 'there are 2 people in the video', 'there are 2 people in the frame', 'there are 2 people in the video', 'there is 1 person in the video']"
5017166671,how many pople are on stage,"{'A': 'nine', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'four'}",E,four,4,"['there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 5 people on stage', 'there are 4 people on stage', 'there are 4 people on stage', 'there are 4 people on stage']"
4516967897,how many ladies are there,"{'A': 'three', 'B': 'two', 'C': 'seven', 'D': 'one', 'E': 'six'}",B,two,2,"['2', '2', '2', '2', '2', '2', '2', '2']"
8225502382,how many times does the man in dark green attempt to go up the slope,"{'A': 'one', 'B': 'eight', 'C': 'five', 'D': 'three', 'E': 'twelve'}",C,five,5,"['1', '1', 'The man in dark green is attempting to go up the slope.', '1', 'The man in dark green is attempting to go up the slope.', 'The man in dark green is attempting to go up the slope.', '1', 'The man in dark green is attempting to go up the slope.']"
5658916668,how many people were filmed sliding down,"{'A': 'four', 'B': 'one', 'C': 'seven', 'D': 'two', 'E': 'six'}",B,one,1,"['there are 3 people in the picture', 'there are 4 people in the picture', 'there are 5 people in the picture', 'there are 5 people in the picture', '1', '1', '1', '1']"
4444192938,how many kids are there at the area,"{'A': 'one', 'B': 'four', 'C': 'nine', 'D': 'two', 'E': 'three'}",E,three,3,"['3', '3', '3', 'there are 2 kids at the area', 'there are 2 kids at the area', 'there are 2 kids at the area', '1', '1']"
