videoID,question,options,answer_letter,answer_text,answer_num,frame_reasoning
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",E,one,1,"['1', '1', '1', '0', '0', '1', '1', '1']"
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",A,eight,8,"['1', 'There are four goats visible in the image.', 'There are four goats visible in the image.', 'There are two goats visible in the image.', 'There are two goats visible in the image.', 'There are two goats visible in the image.', 'There are four goats visible in the image.', 'There are three goats visible in the image.']"
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",C,five,5,"['There are five people involved in the image.', 'There are four people involved in the scene.', 'There are four people involved in the scene.', 'There are four people involved in the scene.', 'There are four people involved in the image.', 'There are five people involved in the image.', 'There are five people involved in the scene.', 'There are four cheerleaders in the image.']"
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",B,six,6,"['There are five people on stage.', 'There are six people on stage.', 'There are five people on stage.', 'There are five people on stage.', 'There are five people on stage.', 'There are five people on stage.', 'There are six people on stage.', 'There are five children on stage.']"
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",B,five,5,"['5', '5', '5', '5', 'There are five people posing for the photos.', '5', '5', '5']"
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",C,two,2,"['There are two elephants playing with the ball.', 'There are two elephants playing with the ball.', '1', '1', '1', 'There are two elephants playing with the ball.', 'There are two elephants playing with the ball.', 'There are two elephants playing with the ball.']"
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",C,six,6,"['1', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', '1', 'There are two people in the image.', 'There is one person in the image.', '1 person']"
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",C,two,2,"['2', '0', '1', '0', '2', '2', '1', '1']"
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",E,two,2,"['2', '2', '2', '2', '2', '2', '2', '2']"
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",E,three,3,"['0', 'The girl is holding the toy in her hand and passing it to the boy.', '0', 'The girl passes the toy to the boy twice.', 'The girl is holding the toy in her hand and passing it to the boy.', 'The girl passes the toy to the boy twice.', '0', 'The girl passes the toy to the boy twice.']"
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",D,one,1,"['1', '0', '0', '1', '1', '1', '1', '1']"
2978295992,how many ladies are filmed,"{'A': 'six', 'B': 'two', 'C': 'seven', 'D': 'five', 'E': 'four'}",B,two,2,"['1', '2', '1', '1', '2', '2', '2', '2']"
3388598772,how many people are mainly involved in the video,"{'A': 'four', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'one'}",D,two,2,"['There are two main people involved in the video.', 'There are two main people involved in the video.', 'There are two main people involved in the video.', 'There are two main people involved in the video.', '2', 'There are three people mainly involved in the video.', 'There are three people mainly involved in the video.', '3']"
4036955771,how many performers are there,"{'A': 'six', 'B': 'seven', 'C': 'eleven', 'D': 'eight', 'E': 'five'}",B,seven,7,"['There are six performers in the image.', 'There are seven performers in the image.', 'There are seven performers in the image.', 'There are six performers in the image.', 'There are six performers in the image.', 'There are seven performers in the image.', 'There are seven performers in the image.', 'There are six performers in the image.']"
6265968082,how many people are performing on stage,"{'A': 'four', 'B': 'one', 'C': 'five', 'D': 'three', 'E': 'nine'}",A,four,4,"['3', '2', '1', '2', '3', '1', '3', '0']"
11541421563,how many people are involved in reading the score,"{'A': 'six', 'B': 'four', 'C': 'eight', 'D': 'seven', 'E': 'two'}",E,two,2,"['2', '2', '2', '2', '4 people are involved in reading the score.', '2 people are involved in reading the score.', '2', '2']"
