image,image_path,qtype,question,options,prediction,raw_output,answer,answer_text,correct,inference_time_sec
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bus', 'B': 'car', 'C': 'awning-tricycle', 'D': 'van', 'E': 'truck'}",C,C,D,van,0,10.101770162582397
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,counting,How many cars are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",A,A,E,4 or more,0,1.1165683269500732
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'van', 'B': 'tricycle', 'C': 'car', 'D': 'bicycle', 'E': 'motor'}",C,C,C,car,1,1.112718105316162
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,location,Where is the largest van located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",A,A,E,center,0,1.1149609088897705
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bicycle', 'B': 'tricycle', 'C': 'van', 'D': 'bus', 'E': 'motor'}",A,A,C,van,0,1.1118388175964355
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,counting,How many awning-tricycles are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",A,A,B,1,0,1.1437580585479736
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'motor', 'B': 'pedestrian', 'C': 'van', 'D': 'car', 'E': 'bus'}",D,D,D,car,1,1.1130194664001465
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",A,A,C,bottom-left,0,1.1182680130004883
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bus', 'B': 'awning-tricycle', 'C': 'bicycle', 'D': 'tricycle', 'E': 'car'}",B,B,D,tricycle,0,1.1162116527557373
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,counting,How many motors are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",A,A,E,4 or more,0,1.117776870727539
