videoID,question,options,answer_letter,answer_text,answer_num,frame_reasoning,is_wrong,recoverable
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",A,eight,8,"['1', 'There are four goats visible in the image.', 'There are four goats visible in the image.', 'There are two goats visible in the image.', 'There are two goats visible in the image.', 'There are two goats visible in the image.', 'There are four goats visible in the image.', 'There are three goats visible in the image.']",True,False
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",C,five,5,"['There are five people involved in the image.', 'There are four people involved in the scene.', 'There are four people involved in the scene.', 'There are four people involved in the scene.', 'There are four people involved in the image.', 'There are five people involved in the image.', 'There are five people involved in the scene.', 'There are four cheerleaders in the image.']",True,True
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",C,two,2,"['There are two elephants playing with the ball.', 'There are two elephants playing with the ball.', '1', '1', '1', 'There are two elephants playing with the ball.', 'There are two elephants playing with the ball.', 'There are two elephants playing with the ball.']",True,True
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",C,six,6,"['1', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', '1', 'There are two people in the image.', 'There is one person in the image.', '1 person']",True,False
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",C,two,2,"['2', '0', '1', '0', '2', '2', '1', '1']",True,True
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",E,three,3,"['0', 'The girl is holding the toy in her hand and passing it to the boy.', '0', 'The girl passes the toy to the boy twice.', 'The girl is holding the toy in her hand and passing it to the boy.', 'The girl passes the toy to the boy twice.', '0', 'The girl passes the toy to the boy twice.']",True,False
4036955771,how many performers are there,"{'A': 'six', 'B': 'seven', 'C': 'eleven', 'D': 'eight', 'E': 'five'}",B,seven,7,"['There are six performers in the image.', 'There are seven performers in the image.', 'There are seven performers in the image.', 'There are six performers in the image.', 'There are six performers in the image.', 'There are seven performers in the image.', 'There are seven performers in the image.', 'There are six performers in the image.']",True,True
6265968082,how many people are performing on stage,"{'A': 'four', 'B': 'one', 'C': 'five', 'D': 'three', 'E': 'nine'}",A,four,4,"['3', '2', '1', '2', '3', '1', '3', '0']",True,False
2573424030,how many people in total are there in the video,"{'A': 'six', 'B': 'one', 'C': 'two', 'D': 'five', 'E': 'seven'}",E,seven,7,"['There are three people in the video.', 'There are six people in the video.', 'There are two people in the video.', 'There are four people in the video.', 'There are three people in the video.', 'There are three people in the video.', 'There are two people in the video.', '1']",True,False
5017166671,how many pople are on stage,"{'A': 'nine', 'B': 'six', 'C': 'three', 'D': 'two', 'E': 'four'}",E,four,4,"['There are four people on stage.', 'There are three people on stage.', 'There are four people on stage.', 'There are three people on stage.', 'There are four people on stage.', 'There are three people on stage.', 'There are four people on stage.', 'There are three people on stage.']",True,True
8225502382,how many times does the man in dark green attempt to go up the slope,"{'A': 'one', 'B': 'eight', 'C': 'five', 'D': 'three', 'E': 'twelve'}",C,five,5,"['The man in dark green is attempting to go up the slope three times.', '0', 'The man in dark green is attempting to go up the slope multiple times.', 'The man in dark green attempts to go up the slope three times.', 'The man in dark green is attempting to go up the slope multiple times.', 'The man in dark green attempts to go up the slope three times.', 'The man in the dark green shirt is attempting to go up the slope multiple times.', 'The man in dark green attempts to go up the slope three times.']",True,False
5658916668,how many people were filmed sliding down,"{'A': 'four', 'B': 'one', 'C': 'seven', 'D': 'two', 'E': 'six'}",B,one,1,"['4 people', 'There are four people in the image, and they are all sliding down the snow-covered hill.', 'There are four people in the image, and they are all sliding down the snow-covered hill.', 'There are four people in the image who are sliding down the snow-covered hill.', '0', '1', '1', '1']",True,True
4444192938,how many kids are there at the area,"{'A': 'one', 'B': 'four', 'C': 'nine', 'D': 'two', 'E': 'three'}",E,three,3,"['There are three kids at the area.', 'There are three kids in the image.', 'There are three kids at the area.', '1', 'There is one child in the image.', 'There are two kids at the area.', '1', '1']",True,True
5235909148,how many people are in the video,"{'A': 'three', 'B': 'six', 'C': 'one', 'D': 'four', 'E': 'eight'}",D,four,4,"['0', '0', 'There are two people in the video.', '1', '1', '1', 'There are two people in the video.', 'There are three people in the video.']",True,False
4636208292,how many people are cheering their glasses at the end,"{'A': 'five', 'B': 'three', 'C': 'four', 'D': 'seven', 'E': 'one'}",C,four,4,"['1', '0', '0', '0', '1', '0', '0', '0']",True,False
2589540862,how many children are there,"{'A': 'nine', 'B': 'two', 'C': 'six', 'D': 'one', 'E': 'four'}",D,one,1,"['There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.', 'There are no children in the image.']",True,False
3469864014,how many cats were there,"{'A': 'three', 'B': 'two', 'C': 'four', 'D': 'one', 'E': 'five'}",B,two,2,"['1', '1', '1', '1', '1', '1', '0', '0']",True,False
4264435046,how many dogs are there,"{'A': 'one', 'B': 'two', 'C': 'four', 'D': 'six', 'E': 'nine'}",B,two,2,"['1', '1', '1', '1', 'There are two dogs in the image.', 'There are two dogs in the image.', '1', 'There are two dogs in the image.']",True,True
8505893258,how many people were in the video,"{'A': 'seven', 'B': 'twelve', 'C': 'six', 'D': 'five', 'E': 'two'}",C,six,6,"['5', 'There are four people in the video.', 'There are four people in the video.', 'There are four people in the video.', 'There are four people in the video.', 'There are four people in the video.', 'There are three people in the video.', 'There are four people in the video.']",True,False
2809330695,how many times does the baby attempt to flip over,"{'A': 'five', 'B': 'one', 'C': 'four', 'D': 'two', 'E': 'three'}",E,three,3,"['The baby attempts to flip over three times.', 'The baby attempts to flip over once.', 'The baby attempts to flip over three times.', 'The baby attempts to flip over three times.', 'The baby attempts to flip over three times.', 'The baby attempts to flip over three times.', 'The baby attempts to flip over once.', 'The baby attempts to flip over three times.']",True,True
4276006683,how many people are involved in the video,"{'A': 'two', 'B': 'six', 'C': 'five', 'D': 'one', 'E': 'four'}",D,one,1,"['1', '1', '1', '1', '1', '1', '1', '1 person']",True,True
5521781780,how many people were under the umbrella,"{'A': 'six', 'B': 'eleven', 'C': 'five', 'D': 'one', 'E': 'two'}",E,two,2,"['0', '0', '0', '0', '0', '1', '0', '0']",True,False
2435633172,how many people are there,"{'A': 'one', 'B': 'seven', 'C': 'four', 'D': 'eleven', 'E': 'three'}",E,three,3,"['There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.', 'There are two people in the image.']",True,False
3846475848,how many people are involved in the video,"{'A': 'five', 'B': 'six', 'C': 'four', 'D': 'two', 'E': 'one'}",E,one,1,"['1', '1', '1', '1', '1', '1', '2', '1']",True,True
3851913128,how many people are involved in the video,"{'A': 'two', 'B': 'five', 'C': 'four', 'D': 'three', 'E': 'one'}",B,five,5,"['There are three people involved in the video.', 'There are three people involved in the video.', 'There are four people involved in the video.', 'There are three people involved in the video.', 'There are three people involved in the video.', 'There are three people involved in the video.', 'There are four people involved in the video.', 'There are four people involved in the video.']",True,False
3063380173,how many kittens are in the video,"{'A': 'one', 'B': 'three', 'C': 'two', 'D': 'four', 'E': 'five'}",C,two,2,"['0', '0', '0', '0', '0', '0', '0', '0']",True,False
5702201498,how many people are present in the video,"{'A': 'five', 'B': 'four', 'C': 'two', 'D': 'eight', 'E': 'one'}",E,one,1,"['1', '1', '1', '1', '1', '1', '1', '1']",True,True
3861485381,how many animals are in the video,"{'A': 'two', 'B': 'one', 'C': 'three', 'D': 'four', 'E': 'five'}",E,five,5,"['There are three animals in the video.', '1', '2', '1', '1', 'There are no animals in the video.', 'There are two animals in the video.', 'There are two animals in the video.']",True,False
7651639778,how many people are present,"{'A': 'three', 'B': 'two', 'C': 'four', 'D': 'seven', 'E': 'eleven'}",C,four,4,"['2 people', '3 people', '3 people', '2', '2 people', 'There are three people present in the image.', 'There are three people present in the image.', 'There are three people present in the image.']",True,False
2697261300,how many dogs are filmed,"{'A': 'one', 'B': 'five', 'C': 'four', 'D': 'two', 'E': 'three'}",D,two,2,"['0', '0', '0', '0', '0', '0', '1', '0']",True,False
3105728894,how many people are practising their tricks in the video,"{'A': 'four', 'B': 'three', 'C': 'five', 'D': 'two', 'E': 'one'}",A,four,4,"['There are three people practising their tricks in the video.', 'There are two people practising their tricks in the video.', '1', 'There are three people practising their tricks in the video.', 'There are two people practicing their tricks in the video.', 'There are four people practicing their tricks in the video.', 'There are two people practicing their tricks in the video.', 'There are two people practising their tricks in the video.']",True,True
7453733046,how many people are playing in the water playground,"{'A': 'one', 'B': 'kitchen', 'C': 'four', 'D': 'five', 'E': 'two'}",E,two,2,"['There are four people playing in the water playground.', 'There are two people playing in the water playground.', 'There are two people playing in the water playground.', 'There are no people playing in the water playground.', 'There are three people playing in the water playground.', 'There are two people playing in the water playground.', '0', '0']",True,True
2679130168,how many times did the girl try to stuff her face into the cushion in the beginning of the video,"{'A': 'four', 'B': 'two', 'C': 'three', 'D': 'five', 'E': 'six'}",D,five,5,"['The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.', 'The girl tried to stuff her face into the cushion once in the beginning of the video.']",True,False
5145526755,how many people are involved in the video,"{'A': 'one', 'B': 'three', 'C': 'four', 'D': 'five', 'E': 'two'}",E,two,2,"['0', '0', '0', '0', '0', '0', '0', 'There are two people in the video.']",True,True
2925298951,how many women are posing for the photo,"{'A': 'six', 'B': 'five', 'C': 'two', 'D': 'four', 'E': 'one'}",A,six,6,"['3', '3', '3', '2', '3', '3', '3', 'There are two women posing for the photo.']",True,False
3375218204,how many people are involved in the video,"{'A': 'three', 'B': 'five', 'C': 'two', 'D': 'six', 'E': 'one'}",A,three,3,"['0', '0', '2 people', '3 people are involved in the video.', 'There are three people involved in the video.', 'There are two people involved in the video.', 'There are three people involved in the video.', 'There are two people involved in the video.']",True,True
2669452260,how many people walk past the man,"{'A': 'three', 'B': 'two', 'C': 'seven', 'D': 'thirteen', 'E': 'four'}",B,two,2,"['0', '0', '0', '0', 'There are two people walking past the man.', '1', '0', 'There are two people walking past the man.']",True,True
3175315183,how many toys are hang above the baby,"{'A': 'three', 'B': 'two', 'C': 'five', 'D': 'one', 'E': 'four'}",C,five,5,"['There are four toys hanging above the baby.', 'There are three toys hanging above the baby.', 'There are four toys hanging above the baby.', 'There are two toys hanging above the baby.', 'There are four toys hanging above the baby.', 'There are four toys hanging above the baby.', 'There are three toys hanging above the baby.', 'There are four toys hanging above the baby.']",True,False
