videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,num_frames,correct,inference_time_sec
3550839192,what did the baby hold onto,{},C,E,"['a', 'b', 'b', 'a', 'A baby is holding onto a motorcycle.', 'A', 'A baby is holding onto a stroller.', 'b']","['A', 'B', 'B', 'A', 'A', 'A', 'A', 'B']",A,8,0,3.89497709274292
4942054721,how many goats can be spotted,{},D,A,"['1', '4', '4', '3', '3', '2', '3', '3']","[None, None, None, None, None, None, None, None]",A,8,1,2.872615098953247
3206694342,how many people are on stage,{},D,B,"['4', '5', '6', '5', '5', '5', '5', '5']","[None, None, None, None, None, None, None, None]",A,8,0,2.862060546875
5237219621,how many people are there,{},B,C,"['1', '2', '2', '1', '1', '3', '2', 'answering does not require reading text in the image']","[None, None, None, None, None, None, None, None]",A,8,0,3.0855791568756104
2834146886,how many dogs are there,{},B,C,"['1', 'a', 'answering does not require reading text in the image', 'a', '1', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","[None, 'A', None, 'A', None, None, None, None]",A,8,0,3.675032138824463
2679328607,how many times does the girl pass the toy to the boy,{},B,E,"['1', '1', '1', '1', '1', '1', '1', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.850025177001953
4036955771,how many performers are there,{},D,B,"['7', '8', '6', '6', '7', '6', '6', '8']","[None, None, None, None, None, None, None, None]",A,8,0,2.8716237545013428
6265968082,how many people are performing on stage,{},D,A,"['4', '3', '1', '2', '3', '1', '3', '2']","[None, None, None, None, None, None, None, None]",A,8,1,2.8953254222869873
4518113460,where are the people hanging out,{},C,D,"['a', 'A', 'A', 'A', 'a', 'a baby crawling on the floor', 'a', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.820512533187866
2495861393,what is the relationship between the lady and the children,{},D,B,"['A lady and two children are in a kitchen.', 'A lady and two children are in a kitchen.', 'The lady is a chef and the children are her students.', 'The lady is teaching the children how to cook.', 'A lady and children are in a kitchen.', 'The lady is teaching the children how to wash dishes.', 'A lady and a child are in a kitchen.', 'A woman and two children are in a kitchen.']","['A', 'A', 'A', None, 'A', None, 'A', 'A']",A,8,0,5.068048477172852
2573424030,how many people in total are there in the video,{},C,E,"['5', '10', '2', '3', '2', '2', '2', 'A']","[None, None, None, None, None, None, None, 'A']",A,8,0,2.8598296642303467
11244289523,what is the relationship between the lady in black and the baby,{},A,B,"['The lady in black is the mother of the baby.', 'A lady in black is feeding a baby.', 'A lady in black is feeding a baby.', 'A', 'A mother and her baby are sitting at a table.', 'Aunt', 'A', 'A lady in black is holding a baby.']","[None, 'A', 'A', 'A', 'A', None, 'A', 'A']",A,8,0,4.146273612976074
6806999702,where is this video taken,{},B,A,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,1,2.621661901473999
5017166671,how many pople are on stage,{},C,E,"['4', '4', '4', '4', '4', '4', '4', '4']","[None, None, None, None, None, None, None, None]",A,8,0,2.8826379776000977
8225502382,how many times does the man in dark green attempt to go up the slope,{},A,C,"['1', 'answering does not require reading text in the image', '1', '1', '1', '1', '1', '1']","[None, None, None, None, None, None, None, None]",A,8,0,3.1364896297454834
4444192938,how many kids are there at the area,{},D,E,"['3', '3', '3', '1', '1', '2', '1', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.8997867107391357
