image,target_class,gt_count,pred_count,tile_counts
0000001_02999_d_0000005.jpg,car,7,13,"[2, 5, 0, 1, 3, 0, 0, 2, 0]"
0000001_03499_d_0000006.jpg,awning-tricycle,1,12,"[1, 1, 1, 2, 2, 1, 2, 1, 1]"
0000001_03999_d_0000007.jpg,motor,5,17,"[1, 2, 1, 2, 2, 2, 2, 3, 2]"
0000001_04527_d_0000008.jpg,motor,1,20,"[0, 2, 0, 0, 10, 1, 2, 0, 5]"
0000001_05249_d_0000009.jpg,car,39,69,"[10, 50, 0, 2, 4, 0, 2, 1, 0]"
0000001_05499_d_0000010.jpg,van,4,7,"[0, 1, 2, 0, 1, 0, 3, 0, 0]"
0000001_05999_d_0000011.jpg,motor,1,44,"[3, 10, 0, 10, 10, 0, 1, 10, 0]"
0000001_07999_d_0000012.jpg,tricycle,3,15,"[0, 2, 2, 2, 2, 2, 1, 2, 2]"
0000001_08414_d_0000013.jpg,car,17,22,"[5, 0, 0, 2, 10, 1, 2, 2, 0]"
0000021_00000_d_0000001.jpg,people,2,16,"[0, 0, 0, 0, 3, 10, 0, 1, 2]"
0000021_00500_d_0000002.jpg,pedestrian,2,14,"[0, 0, 1, 0, 2, 10, 1, 0, 0]"
0000021_00800_d_0000003.jpg,pedestrian,2,3,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
0000022_00000_d_0000004.jpg,pedestrian,7,22,"[2, 0, 3, 0, 5, 5, 5, 2, 0]"
0000022_00500_d_0000005.jpg,pedestrian,6,22,"[0, 5, 3, 0, 10, 2, 0, 2, 0]"
0000022_01036_d_0000006.jpg,pedestrian,8,9,"[0, 0, 0, 3, 6, 0, 0, 0, 0]"
0000022_01251_d_0000007.jpg,motor,2,25,"[4, 10, 10, 0, 0, 0, 1, 0, 0]"
0000023_00000_d_0000008.jpg,pedestrian,6,22,"[2, 0, 3, 0, 5, 5, 5, 2, 0]"
0000023_00300_d_0000009.jpg,people,5,26,"[0, 6, 5, 0, 15, 0, 0, 0, 0]"
0000023_00868_d_0000010.jpg,pedestrian,10,14,"[0, 3, 2, 2, 4, 0, 2, 1, 0]"
0000023_01233_d_0000011.jpg,motor,2,24,"[0, 10, 10, 2, 0, 1, 1, 0, 0]"
0000024_00000_d_0000012.jpg,pedestrian,9,14,"[0, 0, 0, 4, 5, 4, 1, 0, 0]"
0000024_00500_d_0000013.jpg,motor,3,5,"[0, 0, 0, 2, 1, 2, 0, 0, 0]"
0000024_01000_d_0000014.jpg,pedestrian,3,7,"[0, 0, 0, 0, 4, 3, 0, 0, 0]"
0000024_01543_d_0000015.jpg,pedestrian,7,9,"[0, 0, 0, 5, 3, 1, 0, 0, 0]"
0000026_00000_d_0000024.jpg,van,1,4,"[0, 0, 1, 0, 0, 1, 1, 1, 0]"
0000026_00500_d_0000025.jpg,car,10,17,"[5, 2, 0, 2, 2, 2, 1, 1, 2]"
0000026_01000_d_0000026.jpg,motor,2,25,"[2, 5, 2, 3, 3, 2, 4, 3, 1]"
0000026_01500_d_0000027.jpg,pedestrian,1,3,"[0, 1, 1, 0, 0, 0, 1, 0, 0]"
0000026_02000_d_0000028.jpg,car,9,15,"[1, 5, 3, 0, 1, 1, 0, 2, 2]"
0000026_02500_d_0000029.jpg,van,2,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0000026_03000_d_0000030.jpg,van,1,3,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
0000026_03500_d_0000031.jpg,pedestrian,1,3,"[0, 0, 1, 0, 2, 0, 0, 0, 0]"
0000026_04000_d_0000032.jpg,car,12,27,"[2, 2, 1, 0, 4, 2, 2, 4, 10]"
0000026_04500_d_0000033.jpg,tricycle,1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 1]"
0000026_04978_d_0000034.jpg,truck,1,3,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
0000055_00000_d_0000109.jpg,people,18,64,"[10, 20, 3, 10, 10, 4, 4, 3, 0]"
0000055_00714_d_0000110.jpg,motor,13,8,"[0, 0, 2, 0, 1, 1, 2, 1, 1]"
0000069_00001_d_0000001.jpg,motor,3,4,"[1, 2, 0, 0, 0, 0, 0, 1, 0]"
0000069_00483_d_0000002.jpg,people,3,28,"[3, 10, 3, 0, 3, 3, 0, 3, 3]"
0000069_00713_d_0000003.jpg,pedestrian,23,38,"[10, 10, 4, 3, 2, 1, 1, 2, 5]"
0000069_01109_d_0000004.jpg,motor,2,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
0000069_01878_d_0000005.jpg,bicycle,1,2,"[0, 0, 1, 0, 1, 0, 0, 0, 0]"
0000069_02163_d_0000006.jpg,tricycle,1,7,"[1, 2, 2, 0, 0, 1, 0, 0, 1]"
0000069_02480_d_0000007.jpg,car,10,12,"[0, 2, 10, 0, 0, 0, 0, 0, 0]"
0000072_02834_d_0000003.jpg,bicycle,1,2,"[0, 1, 0, 0, 1, 0, 0, 0, 0]"
0000076_02142_d_0000009.jpg,truck,6,10,"[2, 1, 3, 1, 2, 1, 0, 0, 0]"
0000081_00000_d_0000001.jpg,people,4,157,"[10, 10, 0, 20, 50, 50, 5, 10, 2]"
0000086_00000_d_0000001.jpg,pedestrian,20,27,"[2, 2, 0, 10, 10, 2, 1, 0, 0]"
0000086_00592_d_0000002.jpg,people,13,65,"[10, 10, 2, 20, 12, 2, 6, 3, 0]"
0000086_01084_d_0000003.jpg,bicycle,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0000086_01443_d_0000004.jpg,pedestrian,25,145,"[10, 100, 10, 4, 10, 10, 0, 0, 1]"
0000086_01954_d_0000005.jpg,people,10,121,"[50, 20, 10, 15, 20, 6, 0, 0, 0]"
0000103_00180_d_0000026.jpg,pedestrian,1,2,"[0, 1, 0, 0, 1, 0, 0, 0, 0]"
0000103_00502_d_0000027.jpg,pedestrian,2,2,"[1, 1, 0, 0, 0, 0, 0, 0, 0]"
0000103_01734_d_0000028.jpg,car,3,15,"[3, 3, 1, 1, 2, 1, 1, 2, 1]"
0000103_02544_d_0000029.jpg,pedestrian,1,6,"[0, 3, 0, 0, 0, 1, 0, 1, 1]"
0000103_02964_d_0000030.jpg,truck,1,3,"[1, 1, 1, 0, 0, 0, 0, 0, 0]"
0000103_03349_d_0000031.jpg,pedestrian,1,3,"[1, 0, 0, 0, 1, 0, 0, 1, 0]"
0000103_03738_d_0000032.jpg,truck,1,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
0000103_04122_d_0000033.jpg,pedestrian,3,4,"[0, 0, 0, 0, 4, 0, 0, 0, 0]"
0000103_04513_d_0000034.jpg,car,1,4,"[0, 0, 0, 1, 2, 1, 0, 0, 0]"
0000103_04948_d_0000035.jpg,car,1,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
0000115_00315_d_0000080.jpg,pedestrian,1,37,"[10, 10, 0, 1, 10, 0, 0, 6, 0]"
0000115_00796_d_0000081.jpg,tricycle,1,27,"[0, 1, 0, 10, 10, 1, 2, 2, 1]"
0000115_01031_d_0000082.jpg,car,9,33,"[0, 10, 0, 2, 10, 3, 3, 5, 0]"
0000116_00351_d_0000083.jpg,pedestrian,3,42,"[0, 0, 0, 10, 10, 0, 10, 10, 2]"
0000116_00819_d_0000084.jpg,motor,4,33,"[0, 10, 0, 0, 10, 0, 1, 2, 10]"
0000116_01059_d_0000085.jpg,car,7,22,"[0, 10, 0, 0, 3, 0, 5, 2, 2]"
0000116_01338_d_0000086.jpg,pedestrian,1,115,"[0, 100, 0, 2, 10, 0, 0, 2, 1]"
0000117_00112_d_0000087.jpg,people,2,115,"[100, 10, 1, 2, 0, 0, 0, 2, 0]"
0000117_01326_d_0000088.jpg,van,3,9,"[1, 0, 1, 2, 2, 1, 0, 1, 1]"
0000117_01731_d_0000089.jpg,motor,2,18,"[2, 2, 1, 1, 4, 3, 2, 1, 2]"
0000117_02708_d_0000090.jpg,tricycle,1,18,"[0, 2, 10, 0, 1, 2, 1, 0, 2]"
0000117_03096_d_0000091.jpg,car,5,26,"[2, 10, 3, 2, 3, 2, 1, 3, 0]"
0000129_02411_d_0000138.jpg,truck,6,10,"[0, 1, 0, 1, 0, 3, 0, 0, 5]"
0000153_00001_d_0000001.jpg,truck,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0000153_00401_d_0000001.jpg,awning-tricycle,1,9,"[0, 0, 0, 2, 2, 1, 2, 0, 2]"
0000153_00801_d_0000001.jpg,motor,3,16,"[1, 0, 0, 2, 10, 0, 1, 1, 1]"
0000153_01201_d_0000001.jpg,bicycle,1,18,"[0, 0, 0, 1, 10, 0, 4, 1, 2]"
0000153_01601_d_0000001.jpg,tricycle,1,8,"[0, 0, 0, 0, 2, 1, 1, 2, 2]"
0000153_01801_d_0000001.jpg,awning-tricycle,1,15,"[0, 0, 10, 0, 0, 2, 0, 1, 2]"
0000154_00001_d_0000001.jpg,tricycle,1,16,"[0, 1, 0, 2, 10, 1, 1, 0, 1]"
0000154_00401_d_0000001.jpg,tricycle,2,5,"[0, 0, 0, 0, 2, 1, 0, 0, 2]"
0000154_00801_d_0000001.jpg,people,2,120,"[0, 0, 0, 1, 100, 2, 3, 4, 10]"
0000154_01201_d_0000001.jpg,people,2,217,"[0, 0, 0, 100, 100, 0, 10, 2, 5]"
0000154_01601_d_0000001.jpg,motor,1,28,"[0, 0, 0, 2, 10, 10, 3, 1, 2]"
0000154_02001_d_0000001.jpg,van,2,8,"[0, 0, 0, 2, 1, 0, 2, 1, 2]"
0000155_00001_d_0000001.jpg,bus,2,3,"[0, 1, 0, 0, 0, 2, 0, 0, 0]"
0000155_00401_d_0000001.jpg,bicycle,1,28,"[0, 10, 0, 1, 10, 0, 3, 2, 2]"
0000155_00801_d_0000001.jpg,pedestrian,2,143,"[10, 100, 0, 10, 10, 10, 1, 2, 0]"
0000155_01201_d_0000001.jpg,awning-tricycle,1,11,"[0, 0, 1, 1, 3, 1, 1, 2, 2]"
0000155_01601_d_0000001.jpg,awning-tricycle,1,21,"[0, 10, 1, 2, 2, 0, 1, 3, 2]"
0000155_01871_d_0000001.jpg,van,3,7,"[0, 2, 1, 2, 1, 1, 0, 0, 0]"
0000162_00001_d_0000001.jpg,awning-tricycle,1,6,"[0, 0, 0, 1, 1, 2, 1, 0, 1]"
0000162_00401_d_0000001.jpg,motor,1,20,"[0, 10, 0, 2, 2, 2, 1, 2, 1]"
0000162_00801_d_0000001.jpg,car,3,32,"[0, 10, 0, 5, 10, 2, 3, 1, 1]"
0000162_01058_d_0000001.jpg,motor,3,18,"[0, 1, 1, 10, 2, 0, 1, 1, 2]"
0000163_00001_d_0000001.jpg,truck,5,10,"[1, 2, 0, 0, 1, 3, 1, 1, 1]"
0000163_00359_d_0000001.jpg,van,1,11,"[0, 2, 0, 1, 2, 2, 1, 0, 3]"
0000165_04325_d_0000105.jpg,bicycle,2,4,"[0, 0, 0, 0, 1, 0, 0, 2, 1]"
0000166_00558_d_0000118.jpg,van,4,6,"[0, 0, 0, 2, 2, 2, 0, 0, 0]"
0000193_00000_d_0000103.jpg,truck,1,5,"[0, 0, 0, 1, 1, 0, 1, 0, 2]"
0000193_01497_d_0000111.jpg,van,2,5,"[0, 2, 1, 1, 0, 1, 0, 0, 0]"
0000193_01705_d_0000112.jpg,awning-tricycle,2,17,"[2, 1, 0, 2, 2, 2, 3, 3, 2]"
0000193_01876_d_0000113.jpg,car,9,13,"[1, 0, 0, 1, 4, 2, 2, 3, 0]"
0000193_02029_d_0000114.jpg,people,6,115,"[0, 0, 0, 5, 100, 0, 2, 3, 5]"
0000193_02212_d_0000115.jpg,car,1,9,"[0, 5, 0, 0, 2, 1, 0, 1, 0]"
0000193_02416_d_0000116.jpg,van,1,4,"[0, 0, 0, 0, 1, 0, 1, 0, 2]"
0000193_02606_d_0000117.jpg,motor,2,19,"[0, 10, 0, 0, 3, 0, 2, 3, 1]"
0000193_02725_d_0000118.jpg,motor,3,8,"[0, 2, 0, 1, 3, 0, 0, 2, 0]"
0000194_00000_d_0000119.jpg,tricycle,2,10,"[0, 1, 0, 2, 2, 0, 1, 2, 2]"
0000194_00200_d_0000120.jpg,motor,1,48,"[10, 10, 0, 3, 1, 10, 2, 2, 10]"
0000194_00399_d_0000121.jpg,people,1,53,"[0, 0, 0, 1, 20, 10, 2, 10, 10]"
0000194_00625_d_0000122.jpg,tricycle,4,16,"[0, 1, 0, 2, 2, 1, 3, 4, 3]"
0000194_00800_d_0000123.jpg,car,3,15,"[0, 1, 0, 3, 4, 2, 1, 3, 1]"
0000194_00998_d_0000124.jpg,car,4,8,"[0, 0, 0, 2, 2, 0, 1, 2, 1]"
0000194_01192_d_0000125.jpg,van,1,5,"[0, 0, 0, 0, 2, 0, 2, 0, 1]"
0000196_04512_d_0000144.jpg,motor,1,16,"[0, 0, 1, 0, 2, 1, 10, 2, 0]"
0000199_01269_d_0000166.jpg,awning-tricycle,1,3,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
0000213_02500_d_0000240.jpg,car,7,25,"[0, 20, 0, 2, 2, 1, 0, 0, 0]"
0000213_02965_d_0000241.jpg,pedestrian,1,126,"[0, 100, 10, 0, 1, 10, 5, 0, 0]"
0000213_03478_d_0000242.jpg,tricycle,2,13,"[1, 2, 1, 1, 2, 3, 0, 2, 1]"
0000213_03920_d_0000243.jpg,bicycle,3,23,"[1, 2, 2, 2, 2, 2, 2, 0, 10]"
0000213_04405_d_0000244.jpg,bicycle,1,14,"[0, 10, 1, 1, 0, 0, 0, 0, 2]"
0000213_04998_d_0000245.jpg,tricycle,4,7,"[0, 2, 0, 0, 2, 1, 1, 0, 1]"
0000213_05340_d_0000246.jpg,truck,1,4,"[1, 0, 0, 0, 0, 0, 0, 2, 1]"
0000213_05745_d_0000247.jpg,tricycle,3,10,"[2, 1, 2, 2, 0, 1, 0, 0, 2]"
0000215_00000_d_0000256.jpg,tricycle,2,17,"[10, 1, 1, 3, 0, 0, 2, 0, 0]"
0000215_00447_d_0000257.jpg,van,5,12,"[1, 3, 1, 3, 2, 1, 0, 1, 0]"
