image,image_path,target_class,gt_count,area_ratios,csv_bucket,recomputed_bucket,bucket_match
0000001_02999_d_0000005.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,car,7,"[0.003554, 0.002751, 0.002396, 0.002316, 0.001856, 0.00108, 0.001049, 0.000868, 0.000732, 0.000506, 0.000459, 0.000419, 0.00041, 0.000301]",4 or more,4 or more,True
0000001_03499_d_0000006.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,awning-tricycle,1,"[0.00108, 0.000912]",1,1,True
0000001_03999_d_0000007.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,motor,5,"[0.0025, 0.001688, 0.001654, 0.001273, 0.001194, 0.000726, 0.000658, 0.000648, 0.000643, 0.000587, 0.000553, 0.000514, 0.000415, 0.000382, 0.000287, 0.000246, 0.00023]",4 or more,4 or more,True
0000001_04527_d_0000008.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,motor,1,"[0.001782, 0.000972, 0.000885, 0.00087, 0.000812, 0.00081, 0.00079, 0.00078, 0.000748, 0.000726, 0.000702, 0.000699, 0.000692, 0.00069, 0.000666, 0.000648, 0.000594, 0.000593, 0.000589, 0.000573, 0.000567, 0.000552, 0.00054, 0.000534, 0.000532, 0.000521, 0.000494, 0.000489, 0.000463, 0.000456, 0.000449, 0.000449, 0.000444, 0.000393, 0.000375, 0.000361, 0.000361, 0.000357, 0.000344, 0.000308, 0.000299, 0.000299, 0.000299, 0.000295, 0.000286, 0.000284, 9.6e-05, 7.7e-05]",1,1,True
0000001_05249_d_0000009.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,car,39,"[0.008961, 0.003243, 0.002934, 0.002743, 0.002735, 0.002662, 0.00237, 0.002315, 0.00226, 0.002187, 0.002089, 0.002077, 0.001824, 0.001821, 0.001808, 0.001664, 0.00164, 0.001636, 0.001534, 0.00151, 0.001508, 0.001486, 0.001481, 0.001473, 0.001451, 0.001447, 0.001447, 0.001399, 0.00136, 0.001353, 0.0013, 0.001264, 0.001182, 0.001147, 0.001099, 0.001053, 0.001043, 0.001028, 0.001022, 0.000992, 0.000975, 0.000964, 0.000955, 0.000951, 0.000932, 0.000922, 0.000922, 0.00089, 0.00089, 0.000887, 0.000867, 0.000861, 0.000856, 0.00085, 0.000811, 0.000776, 0.000771, 0.00077, 0.000767, 0.000723, 0.000709, 0.000705, 0.000692, 0.00066, 0.000637, 0.000637, 0.000633, 0.000617, 0.000615, 0.000607, 0.000586, 0.000583, 0.000564, 0.000559, 0.000503, 0.000494]",4 or more,4 or more,True
0000001_05499_d_0000010.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,van,4,"[0.008263, 0.002025, 0.001697, 0.001355]",4 or more,4 or more,True
0000001_05999_d_0000011.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,motor,1,"[0.001053, 0.000833, 0.000627, 0.000573, 0.000544, 0.000506, 0.000203, 0.000202, 0.000182, 0.000174, 0.000164, 0.000163, 0.000149, 0.000139, 0.000127, 0.000119, 0.000104, 0.000104, 9e-05]",1,1,True
0000001_07999_d_0000012.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,tricycle,3,"[0.001971, 0.001849, 0.001707, 0.00087, 0.000747, 0.00071, 0.000642, 0.000543, 0.000238]",3,3,True
0000001_08414_d_0000013.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,car,17,"[0.011818, 0.007084, 0.005755, 0.003735, 0.003649, 0.003633, 0.003619, 0.003099, 0.002959, 0.002863, 0.0025, 0.002053, 0.00197, 0.001659, 0.001429, 0.001292, 0.001066, 0.000911, 0.000489, 0.000421]",4 or more,4 or more,True
0000021_00000_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,people,2,"[0.005266, 0.001146, 0.000216, 0.000185, 0.000125, 0.000123, 0.000116, 0.000104, 6.2e-05, 5.8e-05, 5.8e-05, 3.9e-05]",2,2,True
