videoID,question,options,n_frames,raw_output,prediction,answer,correct
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",1,C,C,E,0
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",2,C,C,E,0
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",4,C,C,E,0
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",8,C,C,E,0
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",16,C,C,E,0
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",1,C,C,A,0
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",2,C,C,A,0
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",4,C,C,A,0
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",8,C,C,A,0
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",16,C,C,A,0
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",1,A,A,C,0
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",2,A,A,C,0
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",4,A,A,C,0
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",8,A,A,C,0
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",16,A,A,C,0
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",1,B,B,B,1
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",2,B,B,B,1
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",4,B,B,B,1
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",8,B,B,B,1
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",16,B,B,B,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",1,B,B,B,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",2,B,B,B,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",4,B,B,B,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",8,B,B,B,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",16,B,B,B,1
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",1,A,A,C,0
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",2,A,A,C,0
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",4,A,A,C,0
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",8,A,A,C,0
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",16,A,A,C,0
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",1,B,B,C,0
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",2,B,B,C,0
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",4,B,B,C,0
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",8,B,B,C,0
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",16,B,B,C,0
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",1,C,C,C,1
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",2,C,C,C,1
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",4,C,C,C,1
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",8,C,C,C,1
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",16,C,C,C,1
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",1,E,E,E,1
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",2,E,E,E,1
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",4,E,E,E,1
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",8,E,E,E,1
8563398032,how many people are presenting,"{'A': 'seven', 'B': 'five', 'C': 'six', 'D': 'three', 'E': 'two'}",16,E,E,E,1
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",1,B,B,E,0
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",2,B,B,E,0
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",4,B,B,E,0
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",8,B,B,E,0
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",16,B,B,E,0
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",1,D,D,D,1
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",2,D,D,D,1
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",4,D,D,D,1
5801184682,how many cats are there,"{'A': 'three', 'B': 'four', 'C': 'two', 'D': 'one', 'E': 'five'}",8,D,D,D,1
