image,image_path,target_class,gt_count,csv_bucket,recomputed_bucket,bucket_match
0000001_02999_d_0000005.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,car,7,4 or more,4 or more,True
0000001_03499_d_0000006.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,awning-tricycle,1,1,1,True
0000001_03999_d_0000007.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,motor,5,4 or more,4 or more,True
0000001_04527_d_0000008.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,motor,1,1,1,True
0000001_05249_d_0000009.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,car,39,4 or more,4 or more,True
0000001_05499_d_0000010.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,van,4,4 or more,4 or more,True
0000001_05999_d_0000011.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,motor,1,1,1,True
0000001_07999_d_0000012.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,tricycle,3,3,3,True
0000001_08414_d_0000013.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,car,17,4 or more,4 or more,True
0000021_00000_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,people,2,2,2,True
0000021_00500_d_0000002.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000021_00500_d_0000002.jpg,pedestrian,2,2,2,True
0000021_00800_d_0000003.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000021_00800_d_0000003.jpg,pedestrian,2,2,2,True
0000022_00000_d_0000004.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000022_00000_d_0000004.jpg,pedestrian,7,4 or more,4 or more,True
0000022_00500_d_0000005.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000022_00500_d_0000005.jpg,pedestrian,6,4 or more,4 or more,True
0000022_01036_d_0000006.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000022_01036_d_0000006.jpg,pedestrian,8,4 or more,4 or more,True
0000022_01251_d_0000007.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000022_01251_d_0000007.jpg,motor,2,2,2,True
0000023_00000_d_0000008.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000023_00000_d_0000008.jpg,pedestrian,6,4 or more,4 or more,True
0000023_00300_d_0000009.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000023_00300_d_0000009.jpg,people,5,4 or more,4 or more,True
0000023_00868_d_0000010.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000023_00868_d_0000010.jpg,pedestrian,10,4 or more,4 or more,True
0000023_01233_d_0000011.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000023_01233_d_0000011.jpg,motor,2,2,2,True
0000024_00000_d_0000012.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000024_00000_d_0000012.jpg,pedestrian,9,4 or more,4 or more,True
0000024_00500_d_0000013.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000024_00500_d_0000013.jpg,motor,3,3,3,True
0000024_01000_d_0000014.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000024_01000_d_0000014.jpg,pedestrian,3,3,3,True
0000024_01543_d_0000015.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000024_01543_d_0000015.jpg,pedestrian,7,4 or more,4 or more,True
0000026_00000_d_0000024.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_00000_d_0000024.jpg,van,1,1,1,True
0000026_00500_d_0000025.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_00500_d_0000025.jpg,car,10,4 or more,4 or more,True
0000026_01000_d_0000026.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_01000_d_0000026.jpg,motor,2,2,2,True
0000026_01500_d_0000027.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_01500_d_0000027.jpg,pedestrian,1,1,1,True
0000026_02000_d_0000028.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_02000_d_0000028.jpg,car,9,4 or more,4 or more,True
0000026_02500_d_0000029.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_02500_d_0000029.jpg,van,2,2,2,True
0000026_03000_d_0000030.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_03000_d_0000030.jpg,van,1,1,1,True
0000026_03500_d_0000031.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_03500_d_0000031.jpg,pedestrian,1,1,1,True
0000026_04000_d_0000032.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_04000_d_0000032.jpg,car,12,4 or more,4 or more,True
0000026_04500_d_0000033.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_04500_d_0000033.jpg,tricycle,1,1,1,True
0000026_04978_d_0000034.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000026_04978_d_0000034.jpg,truck,1,1,1,True
0000055_00000_d_0000109.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000055_00000_d_0000109.jpg,people,18,4 or more,4 or more,True
0000055_00714_d_0000110.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000055_00714_d_0000110.jpg,motor,13,4 or more,4 or more,True
0000069_00001_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_00001_d_0000001.jpg,motor,3,3,3,True
0000069_00483_d_0000002.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_00483_d_0000002.jpg,people,3,3,3,True
0000069_00713_d_0000003.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_00713_d_0000003.jpg,pedestrian,23,4 or more,4 or more,True
0000069_01109_d_0000004.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_01109_d_0000004.jpg,motor,2,2,2,True
0000069_01878_d_0000005.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_01878_d_0000005.jpg,bicycle,1,1,1,True
0000069_02163_d_0000006.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_02163_d_0000006.jpg,tricycle,1,1,1,True
0000069_02480_d_0000007.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000069_02480_d_0000007.jpg,car,10,4 or more,4 or more,True
0000072_02834_d_0000003.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000072_02834_d_0000003.jpg,bicycle,1,1,1,True
0000076_02142_d_0000009.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000076_02142_d_0000009.jpg,truck,6,4 or more,4 or more,True
0000081_00000_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000081_00000_d_0000001.jpg,people,4,4 or more,4 or more,True
0000086_00000_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000086_00000_d_0000001.jpg,pedestrian,20,4 or more,4 or more,True
0000086_00592_d_0000002.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000086_00592_d_0000002.jpg,people,13,4 or more,4 or more,True
0000086_01084_d_0000003.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000086_01084_d_0000003.jpg,bicycle,1,1,1,True
0000086_01443_d_0000004.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000086_01443_d_0000004.jpg,pedestrian,25,4 or more,4 or more,True
0000086_01954_d_0000005.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000086_01954_d_0000005.jpg,people,10,4 or more,4 or more,True
0000103_00180_d_0000026.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_00180_d_0000026.jpg,pedestrian,1,1,1,True
0000103_00502_d_0000027.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_00502_d_0000027.jpg,pedestrian,2,2,2,True
0000103_01734_d_0000028.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_01734_d_0000028.jpg,car,3,3,3,True
0000103_02544_d_0000029.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_02544_d_0000029.jpg,pedestrian,1,1,1,True
0000103_02964_d_0000030.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_02964_d_0000030.jpg,truck,1,1,1,True
0000103_03349_d_0000031.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_03349_d_0000031.jpg,pedestrian,1,1,1,True
0000103_03738_d_0000032.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_03738_d_0000032.jpg,truck,1,1,1,True
0000103_04122_d_0000033.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_04122_d_0000033.jpg,pedestrian,3,3,3,True
0000103_04513_d_0000034.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_04513_d_0000034.jpg,car,1,1,1,True
0000103_04948_d_0000035.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000103_04948_d_0000035.jpg,car,1,1,1,True
0000115_00315_d_0000080.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000115_00315_d_0000080.jpg,pedestrian,1,1,1,True
0000115_00796_d_0000081.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000115_00796_d_0000081.jpg,tricycle,1,1,1,True
0000115_01031_d_0000082.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000115_01031_d_0000082.jpg,car,9,4 or more,4 or more,True
0000116_00351_d_0000083.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000116_00351_d_0000083.jpg,pedestrian,3,3,3,True
0000116_00819_d_0000084.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000116_00819_d_0000084.jpg,motor,4,4 or more,4 or more,True
0000116_01059_d_0000085.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000116_01059_d_0000085.jpg,car,7,4 or more,4 or more,True
0000116_01338_d_0000086.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000116_01338_d_0000086.jpg,pedestrian,1,1,1,True
0000117_00112_d_0000087.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000117_00112_d_0000087.jpg,people,2,2,2,True
0000117_01326_d_0000088.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000117_01326_d_0000088.jpg,van,3,3,3,True
0000117_01731_d_0000089.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000117_01731_d_0000089.jpg,motor,2,2,2,True
0000117_02708_d_0000090.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000117_02708_d_0000090.jpg,tricycle,1,1,1,True
0000117_03096_d_0000091.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000117_03096_d_0000091.jpg,car,5,4 or more,4 or more,True
0000129_02411_d_0000138.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000129_02411_d_0000138.jpg,truck,6,4 or more,4 or more,True
0000153_00001_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_00001_d_0000001.jpg,truck,2,2,2,True
0000153_00401_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_00401_d_0000001.jpg,awning-tricycle,1,1,1,True
0000153_00801_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_00801_d_0000001.jpg,motor,3,3,3,True
0000153_01201_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_01201_d_0000001.jpg,bicycle,1,1,1,True
0000153_01601_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_01601_d_0000001.jpg,tricycle,1,1,1,True
0000153_01801_d_0000001.jpg,/data/raja/Datasets/VisDrone/VisDrone2019-DET-val/images/0000153_01801_d_0000001.jpg,awning-tricycle,1,1,1,True
