videoID,question,answer_letter,frame_numbers,mode_pred,mode_correct,median_pred,median_correct,max_pred,max_correct,oracle_anyframe_correct
8547321641,how many babies are in the video,E,"[1, 1, 1, 0, 0, 1, 1, 1]",E,1,E,1,E,1,1
4942054721,how many goats can be spotted,A,"[1, 4, 4, 2, 2, 2, 4, 3]",B,0,B,0,E,0,0
9213637099,how many people are involved,C,"[5, 4, 4, 4, 4, 5, 5, 4]",C,1,C,1,C,1,1
3206694342,how many people are on stage,B,"[5, 6, 5, 5, 5, 5, 6, 5]",D,0,D,0,B,1,1
4798585428,how many people are posing for the photos,B,"[5, 5, 5, 5, 5, 5, 5, 5]",B,1,B,1,B,1,1
4984417707,how many elephants were playing with the ball,C,"[2, 2, 1, 1, 1, 2, 2, 2]",C,1,C,1,C,1,1
5237219621,how many people are there,C,"[1, 2, 2, 2, 1, 2, 1, 1]",B,0,B,0,B,0,0
2834146886,how many dogs are there,C,"[2, 0, 1, 0, 2, 2, 1, 1]",B,0,B,0,C,1,1
8563398032,how many people are presenting,E,"[2, 2, 2, 2, 2, 2, 2, 2]",E,1,E,1,E,1,1
2679328607,how many times does the girl pass the toy to the boy,E,"[0, 0, 0]",B,0,B,0,B,0,0
5801184682,how many cats are there,D,"[1, 0, 0, 1, 1, 1, 1, 1]",D,1,D,1,D,1,1
2978295992,how many ladies are filmed,B,"[1, 2, 1, 1, 2, 2, 2, 2]",B,1,B,1,B,1,1
3388598772,how many people are mainly involved in the video,D,"[2, 2, 2, 2, 2, 3, 3, 3]",D,1,D,1,C,0,1
4036955771,how many performers are there,B,"[6, 7, 7, 6, 6, 7, 7, 6]",A,0,A,0,B,1,1
6265968082,how many people are performing on stage,A,"[3, 2, 1, 2, 3, 1, 3, 0]",D,0,B,0,D,0,0
11541421563,how many people are involved in reading the score,E,"[2, 2, 2, 2, 4, 2, 2, 2]",E,1,E,1,B,0,1
2573424030,how many people in total are there in the video,E,"[3, 6, 2, 4, 3, 3, 2, 1]",C,0,C,0,A,0,0
5017166671,how many pople are on stage,E,"[4, 3, 4, 3, 4, 3, 4, 3]",C,0,C,0,E,1,1
4516967897,how many ladies are there,B,"[2, 2, 2, 2, 2, 2, 2, 2]",B,1,B,1,B,1,1
8225502382,how many times does the man in dark green attempt to go up the slope,C,"[3, 0, 3, 3, 3]",D,0,D,0,D,0,0
5658916668,how many people were filmed sliding down,B,"[4, 4, 4, 4, 0, 1, 1, 1]",A,0,D,0,A,0,1
4444192938,how many kids are there at the area,E,"[3, 3, 3, 1, 1, 2, 1, 1]",A,0,A,0,E,1,1
9409566840,how many dogs are playng biting with each other in the video,B,"[2, 2, 2, 2, 2, 2, 2, 2]",B,1,B,1,B,1,1
12392885583,how many babies are in the video,B,"[1, 1, 1, 1, 1, 1, 1, 1]",B,1,B,1,B,1,1
5235909148,how many people are in the video,D,"[0, 0, 2, 1, 1, 1, 2, 3]",C,0,C,0,A,0,0
9208803675,how many people are on the swing in the video,D,"[2, 4, 4, 4, 4, 3, 4, 2]",A,0,A,0,A,0,1
4636208292,how many people are cheering their glasses at the end,C,"[1, 0, 0, 0, 1, 0, 0, 0]",E,0,E,0,E,0,0
7887764754,how many people are involved in the video,D,"[2, 2, 2, 2, 2, 2, 2, 2]",E,0,E,0,E,0,0
8253302563,how many people are involved in the video,D,"[1, 1, 1, 1, 1, 1, 1, 1]",D,1,D,1,D,1,1
2589540862,how many children are there,D,[],,0,,0,,0,0
6046149003,how many girls are there,B,"[2, 1, 1, 2, 2, 2, 2, 2]",B,1,B,1,B,1,1
3626788516,how many people are in the video,C,"[3, 2, 2, 2, 3, 4, 4, 1]",C,1,C,1,A,0,1
8552680285,how many people are there,A,"[2, 1, 1, 1, 1, 2, 2, 2]",C,0,C,0,A,1,1
2835125654,how many elephants are there,C,"[2, 2, 1, 1, 3, 2, 2, 2]",C,1,C,1,E,0,1
