videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,num_frames,correct,inference_time_sec
3441428429,how many skaters are performing on the ice,{},E,E,"['2', '2', '2', '2', '2', '2', '2', '2']","[None, None, None, None, None, None, None, None]",A,8,0,14.448514938354492
2510696559,how many people are cycling in the video,{},C,C,"['1', '1', '1', '1', '1', '1', '1', '1']","[None, None, None, None, None, None, None, None]",A,8,0,2.8653948307037354
5996148663,how did the lady protect her eyes from the sun,{},E,E,"['sunglasses', 'The lady is wearing sunglasses.', 'The lady is wearing sunglasses.', 'The lady is wearing sunglasses.', 'sunglasses', 'A hat', 'sunglasses', 'sunglasses']","[None, None, None, None, None, 'A', None, None]",A,8,0,4.329200267791748
6860322796,how many dogs are there playing,{},C,C,"['1', '2', '1', '1', '1', '1', '2', '2']","[None, None, None, None, None, None, None, None]",A,8,0,2.8693768978118896
4199369046,what is shown in the background,{},D,D,"['b', 'books', 'books', 'books', 'books', 'books', 'books', 'books']","['B', None, None, None, None, None, None, None]",B,8,0,2.6269588470458984
6772999108,what is the boy holding in his hand,{},A,A,"['guitar', 'A guitar', 'guitar', 'guitar', 'guitar', 'guitar', 'guitar', 'guitar']","[None, 'A', None, None, None, None, None, None]",A,8,1,2.647735118865967
8505893258,what was the colour of the pot at the back,{},C,C,"['p', 'p', 'pink', 'b', 'b', 'p', 'pink', 'p']","[None, None, None, 'B', 'B', None, None, None]",B,8,0,2.792997121810913
5635265624,what is baby trying to do near the black bag,{},C,C,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,2.6383256912231445
2716277960,where is this place,{},C,C,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'a bridge in the woods']","[None, None, None, None, None, None, None, 'A']",A,8,0,4.480463743209839
3049351381,where are the people hanging out,{},C,C,"['A', 'A', 'A', 'A', 'pink', 'A baby is laying on a pillow with a pink shirt on.', 'A', 'A']","['A', 'A', 'A', 'A', None, 'A', 'A', 'A']",A,8,0,3.1817493438720703
2782658657,where were the girls,{},C,C,"['answering does not require reading text in the image', 'a', 'a', 'a', 'a', 'answering does not require reading text in the image', 'a', 'a']","[None, 'A', 'A', 'A', 'A', None, 'A', 'A']",A,8,0,3.152217149734497
11566930393,where could this be happening,{},C,C,"['A', 'A boy is playing with wrapping paper.', 'A boy is playing with a pink toy car.', 'a room', 'A boy is sitting on the floor with a laptop and presents.', 'A', 'A red and black object is on the floor.', 'a']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,8,0,3.886960029602051
