videoID,question,prediction_text,predicted_idx,answer_idx,correct
7508439506,where is this video taken,4,4,4,True
8547321641,how many babies are in the video,4,4,4,True
5840177726,how are the men positioned in the video,0,0,0,True
3963997053,where is the performance taking place,4,4,4,True
7533369046,where is this video taken,3,3,3,True
3550839192,what did the baby hold onto,4,4,4,True
6895608152,what type of performance is occuring,0,0,0,True
3821781616,where is the man at,4,4,4,True
4942054721,how many goats can be spotted,2,2,0,False
9213637099,how many people are involved,1,1,2,False
5561024834,where is the boy hanging out,0: bedroom,0,0,True
2793260225,what were there two men wearing on their heads,4,4,4,True
8107573462,where is this place,2,2,2,True
7001078933,where is this video taken,1,1,1,True
3206694342,how many people are on stage,1,1,1,True
2735019707,what is the relationship between the boy and the man in red,2,2,1,False
4130504920,what is the colour of the balloon,4,4,0,False
4798585428,how many people are posing for the photos,1,1,1,True
4984417707,how many elephants were playing with the ball,0,0,2,False
6860322796,where is this video taken,2,2,2,True
2461993294,what is the relationship between the two performers,3,3,3,True
4889681401,where are the people cycling,0,0,0,True
5296635780,where is this happening,1,1,1,True
3550839192,what colour is the baby wearing,1,1,1,True
6860322796,what is jumping in the snow,4,4,4,True
8811725760,what are the people at,3,3,3,True
5237219621,how many people are there,1,1,2,False
6253433310,how did the boy protect his eyes,4,4,4,True
3851961428,what is the relationship between the man wearing red and the boy wearing blue,1,1,1,True
2834146886,how many dogs are there,2,2,2,True
3345608051,where are the dogs fighting,0: barren land,0,0,True
4087013668,where is this video taken,3,3,3,True
7223854838,how do the two boys position their hands,2,2,2,True
5229476012,where is this video taken,4,4,4,True
8563398032,how many people are presenting,4,4,4,True
2679328607,how many times does the girl pass the toy to the boy,1,1,4,False
8594309349,where is this video taken,3,3,3,True
3550839192,where is this place,3,3,3,True
2824317018,where is this place,1,1,0,False
8740703217,what is on the table,4,4,4,True
2731071928,what instrument is the child playing,3,3,3,True
3861485381,which animal went into the forest first,3,3,3,True
3981865268,where is this video taken,0,0,0,True
5801184682,how many cats are there,3,3,3,True
2978295992,how many ladies are filmed,1,1,1,True
3388598772,how many people are mainly involved in the video,3,3,3,True
3469864014,where was the fish sliced,2,2,2,True
2717347132,what is the color of the bib,3,3,3,True
3804148568,what is the relationship between the man in specs and the two wearing masks,2,2,3,False
4036955771,how many performers are there,0: six,0,1,False
5328004991,where are the people hanging out,0,0,0,True
6265968082,how many people are performing on stage,3,3,0,False
4825843801,where are the penguins hanging out,2,2,2,True
11541421563,how many people are involved in reading the score,4,4,4,True
4518113460,where are the people hanging out,3,3,3,True
2552130183,where are the people hanging out,3,3,3,True
2735019707,where are the people hanging out,0,0,0,True
7988210561,what was the baby looking at at the beginning of the video,4,4,4,True
4485707628,how does the black dog position himself at the end,4,4,3,False
2495861393,what is the relationship between the lady and the children,4,4,1,False
2573424030,how many people in total are there in the video,1,1,4,False
4336654741,where is this happening,1,1,1,True
11244289523,what is the relationship between the lady in black and the baby,1,1,1,True
4671452046,what did the baby do with the spoon that he was holding,3,3,2,False
6806999702,where is this video taken,1,1,0,False
5017166671,how many pople are on stage,3,3,4,False
4516967897,how many ladies are there,1,1,1,True
8225502382,how many times does the man in dark green attempt to go up the slope,1,1,2,False
5658916668,how many people were filmed sliding down,1,1,1,True
11244289523,what is the occasion in the video,2,2,2,True
2973331780,what is the possible relationship between the lady in black and the lady with blonde hair,3,3,1,False
4740074365,where is this video taken,2,2,2,True
8224504302,where are the men delivering their speech,0: stage,0,0,True
3655906094,where is this video taken,4,4,4,True
6793786769,where is the video taken,3,3,3,True
4444192938,how many kids are there at the area,1,1,4,False
4882414082,what is the baby eating,2,2,2,True
9409566840,how many dogs are playng biting with each other in the video,1,1,1,True
11276567104,where is this procession being held,3,3,3,True
3530231811,where are the people in the video performing,4,4,4,True
8552680285,how does the person sitting down position higher hands,1,1,4,False
6233408665,where is this video taken,4,4,4,True
2716277960,where is this place,4,4,2,False
2679328607,where are the people hanging out,4,4,4,True
7887764754,what did the baby do to the dog,0: feed it,0,0,True
11670386946,what is the purpose of the piece of paper that the man with brown hat is holding on to,1,1,0,False
12392885583,how many babies are in the video,1,1,1,True
4846820256,what is the boy pulling,4,4,4,True
4189100053,where can this be happening,3,3,3,True
3804148568,where are the people hanging out,4,4,4,True
7988210561,where is the toy sitting at,1,1,0,False
7492398760,where is this happening,2,2,0,False
5235909148,how many people are in the video,0,0,3,False
5061117640,where is this happening,4,4,4,True
5433090067,how was the girl positioned at the start of the video,3,3,1,False
6754608321,what color is the baby s clothes,2,2,4,False
2857132732,where is this place,4,4,4,True
6772999108,where is this video taken,3,3,3,True
8241491518,where is the man working,3,3,3,True
8132842161,where is this video taken,4,4,4,True
9208803675,how many people are on the swing in the video,1,1,3,False
3388598772,what is the relationship between the man in blue and the woman in black,4,4,4,True
3851913128,what is the relationship between the guy in red and the rest of the people in black,2,2,2,True
4636208292,how many people are cheering their glasses at the end,4,4,2,False
8594309349,what are the people carrying on their back,4,4,4,True
7887764754,how many people are involved in the video,3,3,3,True
3869005094,what are the four people holding,1,1,1,True
3477387686,where did this video take place,0,0,0,True
5635265624,where are they sitting in the video,0,0,0,True
4822859674,where is this video taken,4,4,4,True
5064681723,what is the animal behind the fence,4,4,4,True
6201488511,where is this video taken,1,1,1,True
8253302563,how many people are involved in the video,3,3,3,True
2589540862,how many children are there,0,0,3,False
6096998186,who clapped her hands at the end,4,4,1,False
5349766264,where is this video taken,3,3,3,True
3321261856,what is the girl holding,2,2,2,True
7531285946,where is this video taken,3,3,1,False
2559262403,where are the pugs hanging out,4,4,4,True
3263908208,where is this video taken,1,1,1,True
5521781780,where are the people hanging out,4,4,4,True
8464056582,where is this happening,3,3,0,False
8403741210,where is this happening,2,2,2,True
2584172238,how are the baby in blue and woman in yellow related,3,3,3,True
7961460440,where is this video taken,3,3,3,True
7453733046,where are the people hanging out,1,1,1,True
6542914065,where is this happening,2,2,2,True
5854324479,what event is happening,1,1,1,True
3131380536,what is the colour of the yoghurt,2,2,2,True
6046149003,how many girls are there,1,1,1,True
5237219621,how is the atmosphere of this group discussion,1,1,1,True
5533380417,how is the baby positioned throuh the video,0,0,0,True
6356067859,where could this be happening,1,1,1,True
3626788516,how many people are in the video,2,2,2,True
4136617240,how does the girl feel,2,2,2,True
13296054183,what is the relation between the two people on the bicycle,0,0,2,False
5902452647,where is this happening,4,4,4,True
8552680285,how many people are there,0: two,0,0,True
8531675050,where are the people performing,4,4,4,True
4612723694,what is inside the white bag,4,4,3,False
3249402410,what are the ladies making in the video,1,1,1,True
5875242364,where is this video taken,2,2,2,True
10727696143,what is a possible relationship between the boy and the lady,2,2,2,True
3158022797,where was this video taken,1,1,1,True
2835125654,how many elephants are there,2,2,2,True
14012319794,what did the girl take from the cupboard,1,1,1,True
4744503881,what were passed outside the window,2,2,2,True
11966080214,where is this place,0,0,1,False
14003541505,what does the girl in pink do as the baby tried to move around,1,1,1,True
9256409422,where is this video taken,3,3,3,True
5858985747,where is this happening,3,3,3,True
8531675050,what is the possible relation between lady in black and white and the man in white,4,4,4,True
4123211145,where is this video taken,2,2,2,True
4542882771,where is the baby hanging out,3,3,3,True
10597533885,where is this happening,4,4,0,False
5406108447,where is the girl hanging out,2,2,2,True
2705374471,how many people are there in the room,1,1,3,False
5445581571,where is this video taken,0,0,0,True
5907839036,where is this happening,0,0,0,True
9256409422,how did the lady in black protect herself from the cold,4,4,4,True
