image,image_path,qtype,question,options,prediction,raw_output,answer,answer_text,correct,inference_time_sec
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bus', 'B': 'car', 'C': 'awning-tricycle', 'D': 'van', 'E': 'truck'}",C,C,D,van,0,8.750478029251099
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,counting,How many cars are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,E,4 or more,1,0.39559006690979004
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'van', 'B': 'tricycle', 'C': 'car', 'D': 'bicycle', 'E': 'motor'}",C,C,C,car,1,0.39406633377075195
0000001_02999_d_0000005.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_02999_d_0000005.jpg,location,Where is the largest van located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",A,A,E,center,0,0.39450573921203613
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bicycle', 'B': 'tricycle', 'C': 'van', 'D': 'bus', 'E': 'motor'}",C,C,C,van,1,0.39490699768066406
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,counting,How many awning-tricycles are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",D,D,B,1,0,0.397965669631958
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'motor', 'B': 'pedestrian', 'C': 'van', 'D': 'car', 'E': 'bus'}",D,D,D,car,1,0.3938171863555908
0000001_03499_d_0000006.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03499_d_0000006.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,C,bottom-left,0,0.3965897560119629
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bus', 'B': 'awning-tricycle', 'C': 'bicycle', 'D': 'tricycle', 'E': 'car'}",D,D,D,tricycle,1,0.39452552795410156
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,counting,How many motors are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",B,B,E,4 or more,0,0.3951694965362549
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'car', 'B': 'bus', 'C': 'tricycle', 'D': 'motor', 'E': 'pedestrian'}",A,A,D,motor,0,0.39438652992248535
0000001_03999_d_0000007.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_03999_d_0000007.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,E,center,1,0.3932993412017822
0000001_04527_d_0000008.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,presence,Which object type is visible in the drone image?,"{'A': 'truck', 'B': 'van', 'C': 'people', 'D': 'pedestrian', 'E': 'tricycle'}",C,C,E,tricycle,0,0.39693760871887207
0000001_04527_d_0000008.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,counting,How many motors are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",A,A,B,1,0,0.3935704231262207
0000001_04527_d_0000008.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'van', 'B': 'pedestrian', 'C': 'car', 'D': 'awning-tricycle', 'E': 'tricycle'}",D,D,C,car,0,0.39990854263305664
0000001_04527_d_0000008.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_04527_d_0000008.jpg,location,Where is the largest tricycle located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",C,C,E,center,0,0.3936936855316162
0000001_05249_d_0000009.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,presence,Which object type is visible in the drone image?,"{'A': 'awning-tricycle', 'B': 'pedestrian', 'C': 'car', 'D': 'people', 'E': 'bicycle'}",A,A,C,car,0,0.395951509475708
0000001_05249_d_0000009.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,counting,How many cars are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,E,4 or more,1,0.39424633979797363
0000001_05249_d_0000009.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'car', 'B': 'truck', 'C': 'bus', 'D': 'people', 'E': 'pedestrian'}",A,A,A,car,1,0.39440107345581055
0000001_05249_d_0000009.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05249_d_0000009.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",A,A,E,center,0,0.39382362365722656
0000001_05499_d_0000010.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bus', 'B': 'pedestrian', 'C': 'car', 'D': 'motor', 'E': 'van'}",C,C,C,car,1,0.39433884620666504
0000001_05499_d_0000010.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,counting,How many vans are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,E,4 or more,1,0.3950338363647461
0000001_05499_d_0000010.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'pedestrian', 'B': 'bus', 'C': 'van', 'D': 'car', 'E': 'truck'}",D,D,D,car,1,0.3936302661895752
0000001_05499_d_0000010.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05499_d_0000010.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,C,bottom-left,0,0.39613890647888184
0000001_05999_d_0000011.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,presence,Which object type is visible in the drone image?,"{'A': 'truck', 'B': 'tricycle', 'C': 'motor', 'D': 'car', 'E': 'van'}",D,D,E,van,0,0.3959996700286865
0000001_05999_d_0000011.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,counting,How many motors are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,B,1,0,0.395038366317749
0000001_05999_d_0000011.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'car', 'B': 'people', 'C': 'van', 'D': 'pedestrian', 'E': 'awning-tricycle'}",A,A,A,car,1,0.3964107036590576
0000001_05999_d_0000011.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_05999_d_0000011.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,E,center,1,0.39432358741760254
0000001_07999_d_0000012.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,presence,Which object type is visible in the drone image?,"{'A': 'truck', 'B': 'bicycle', 'C': 'van', 'D': 'car', 'E': 'awning-tricycle'}",D,D,B,bicycle,0,0.39606404304504395
0000001_07999_d_0000012.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,counting,How many tricycles are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",D,D,D,3,1,0.3954157829284668
0000001_07999_d_0000012.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'awning-tricycle', 'B': 'bicycle', 'C': 'car', 'D': 'truck', 'E': 'van'}",C,C,C,car,1,0.39661622047424316
0000001_07999_d_0000012.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_07999_d_0000012.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",B,B,E,center,0,0.3942685127258301
0000001_08414_d_0000013.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,presence,Which object type is visible in the drone image?,"{'A': 'van', 'B': 'people', 'C': 'truck', 'D': 'bicycle', 'E': 'pedestrian'}",B,B,A,van,0,0.39618968963623047
0000001_08414_d_0000013.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,counting,How many cars are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,E,4 or more,1,0.39405131340026855
0000001_08414_d_0000013.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'truck', 'B': 'awning-tricycle', 'C': 'car', 'D': 'tricycle', 'E': 'bus'}",D,D,C,car,0,0.39778971672058105
0000001_08414_d_0000013.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000001_08414_d_0000013.jpg,location,Where is the largest car located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,C,bottom-left,0,0.39397644996643066
0000021_00000_d_0000001.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,presence,Which object type is visible in the drone image?,"{'A': 'bicycle', 'B': 'bus', 'C': 'truck', 'D': 'tricycle', 'E': 'motor'}",D,D,E,motor,0,0.3492867946624756
0000021_00000_d_0000001.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,counting,How many peoples are visible in the drone image?,"{'A': '0', 'B': '1', 'C': '2', 'D': '3', 'E': '4 or more'}",E,E,C,2,0,0.34892916679382324
0000021_00000_d_0000001.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,most_frequent,Which object type appears most often in the drone image?,"{'A': 'motor', 'B': 'people', 'C': 'bicycle', 'D': 'van', 'E': 'truck'}",B,B,A,motor,0,0.34867024421691895
0000021_00000_d_0000001.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000021_00000_d_0000001.jpg,location,Where is the largest pedestrian located in the image?,"{'A': 'top-left', 'B': 'top-right', 'C': 'bottom-left', 'D': 'bottom-right', 'E': 'center'}",E,E,D,bottom-right,0,0.34942030906677246
0000021_00500_d_0000002.jpg,/home/brisic03/VisDrone/VisDrone2019-DET-val/images/0000021_00500_d_0000002.jpg,presence,Which object type is visible in the drone image?,"{'A': 'truck', 'B': 'car', 'C': 'pedestrian', 'D': 'motor', 'E': 'van'}",D,D,D,motor,1,0.3484983444213867
