videoID,question,options,baseline_prediction,answer,reasoning_output,frame_reasoning_predictions,reasoning_prediction,correct,num_frames,inference_time_sec
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",D,A,"['C', 'D', 'B', 'B', 'B', 'B', 'B', 'D']","['C', 'D', 'B', 'B', 'B', 'B', 'B', 'D']",B,0,8,9.37601613998413
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",A,C,"['A. six', 'A. six', 'B', 'A. six', 'A. six', 'A. six', 'A. six', 'A. six']","['A', 'A', 'B', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.196602821350098
2735019707,what is the relationship between the boy and the man in red,"{'A': 'father daughter', 'B': 'parent offspring', 'C': 'trainer trainee', 'D': 'friends', 'E': 'team member'}",C,B,"['C', 'C', 'C', 'A. father daughter', 'C', 'C', 'C', 'B']","['C', 'C', 'C', 'A', 'C', 'C', 'C', 'B']",C,0,8,7.989396810531616
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",A,C,"['A. three', 'A. three', 'A', 'A. three', 'C', 'A. three', 'A. three', 'A. three']","['A', 'A', 'A', 'A', 'C', 'A', 'A', 'A']",A,0,8,9.187472343444824
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",B,C,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,0,8,8.808867692947388
2834146886,how many dogs are there,"{'A': 'four', 'B': 'one', 'C': 'two', 'D': 'six', 'E': 'three'}",B,C,"['C', 'B', 'B', 'B', 'C', 'C', 'B', 'B']","['C', 'B', 'B', 'B', 'C', 'C', 'B', 'B']",B,0,8,8.815773725509644
2679328607,how many times does the girl pass the toy to the boy,"{'A': 'six', 'B': 'two', 'C': 'four', 'D': 'five', 'E': 'three'}",B,E,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,0,8,7.934684753417969
3804148568,what is the relationship between the man in specs and the two wearing masks,"{'A': 'team members', 'B': 'fix the bunker', 'C': 'teacher student', 'D': 'friends', 'E': 'poster'}",C,D,"['C', 'C', 'A man in a purple shirt is holding a sword.', 'A man in a mask is holding a sword.', 'C', 'C', 'C', 'A man in glasses is standing between two people wearing masks.']","['C', 'C', 'A', 'A', 'C', 'C', 'C', 'A']",C,0,8,8.980587482452393
4036955771,how many performers are there,"{'A': 'six', 'B': 'seven', 'C': 'eleven', 'D': 'eight', 'E': 'five'}",A,B,"['A. six', 'A. six', 'A. six', 'A. six', 'A. six', 'A. six', 'A. six', 'A. six']","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",A,0,8,9.370734453201294
6265968082,how many people are performing on stage,"{'A': 'four', 'B': 'one', 'C': 'five', 'D': 'three', 'E': 'nine'}",D,A,"['D', 'D', 'B', 'D', 'D', 'B', 'D', 'B']","['D', 'D', 'B', 'D', 'D', 'B', 'D', 'B']",D,0,8,8.865651369094849
4825843801,where are the penguins hanging out,"{'A': 'cage', 'B': 'floor', 'C': 'zoo', 'D': 'kitchen', 'E': 'pond'}",B,C,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']","['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",B,0,8,8.903331995010376
4518113460,where are the people hanging out,"{'A': 'classroom', 'B': 'bus', 'C': 'kitchen', 'D': 'living room', 'E': 'snow mountain'}",C,D,"['C', 'C', 'D', 'D', 'A baby is sitting on a chair.', 'C', 'C', 'C']","['C', 'C', 'D', 'D', 'A', 'C', 'C', 'C']",C,0,8,9.287352323532104
4485707628,how does the black dog position himself at the end,"{'A': 'wear collars', 'B': 'using hands', 'C': 'keep getting up', 'D': 'sit on the ground', 'E': 'lie on the grassland'}",C,D,"['E', 'C', 'C', 'C', 'C', 'E', 'E', 'D']","['E', 'C', 'C', 'C', 'C', 'E', 'E', 'D']",C,0,8,8.401574850082397
