scope,comparison,n_pairs,accA_%,accB_%,deltaB-A_%,discordant,b(A>B),c(B>A),p_value,significant
TinyLLaVA,composite@8 vs vote (counting),177,57.1,53.1,-4.0,23,15,8,0.21,no
TinyLLaVA,composite@8 vs vote (all-777),777,77.3,72.7,-4.6,86,61,25,0.0001,YES
TinyLLaVA,repair-mode vs vote (counting),177,57.1,53.1,-4.0,27,17,10,0.2478,no
TinyLLaVA,repair-median vs vote (counting),177,57.1,53.1,-4.0,27,17,10,0.2478,no
TinyLLaVA,repair-max vs vote (counting),177,57.1,59.3,2.3,46,21,25,0.6587,no
TinyLLaVA,oracle-bestframe vs vote (counting),177,57.1,69.5,12.4,36,7,29,0.0003,YES
MobileVLM,composite@8 vs vote (counting),177,57.1,53.7,-3.4,32,19,13,0.3771,no
MobileVLM,composite@8 vs vote (all-777),777,76.4,76.3,-0.1,81,41,40,1.0,no
MobileVLM,repair-mode vs vote (counting),177,57.1,57.1,0.0,34,17,17,1.0,no
MobileVLM,repair-median vs vote (counting),177,57.1,56.5,-0.6,35,18,17,1.0,no
MobileVLM,repair-max vs vote (counting),177,57.1,58.2,1.1,50,24,26,0.8877,no
MobileVLM,oracle-bestframe vs vote (counting),177,57.1,75.1,18.1,42,5,37,0.0,YES
TinyLLaVA vs MobileVLM,vote (counting),177,57.1,57.1,0.0,36,18,18,1.0,no
TinyLLaVA vs MobileVLM,vote (all-777),777,77.3,76.4,-0.9,113,60,53,0.5727,no
TinyLLaVA vs MobileVLM,repair-max (counting),177,59.3,58.2,-1.1,34,18,16,0.8642,no
