videoID,question,options,n_frames,raw_output,prediction,answer,correct
7508439506,where is this video taken,"{'A': 'swimming pool', 'B': 'outdoor', 'C': 'field', 'D': 'desert', 'E': 'bed room'}",8,E,E,E,1
8547321641,how many babies are in the video,"{'A': 'kitchen', 'B': 'four', 'C': 'two', 'D': 'three', 'E': 'one'}",8,E,E,E,1
5840177726,how are the men positioned in the video,"{'A': 'riding the cycle', 'B': 'half squat', 'C': 'sit on the sofa', 'D': 'skateboard', 'E': 'stand closely'}",8,A,A,A,1
3963997053,where is the performance taking place,"{'A': 'on a stage', 'B': 'room', 'C': 'bar', 'D': 'restaurant', 'E': 'road'}",8,E,E,E,1
7533369046,where is this video taken,"{'A': 'dining table', 'B': 'lake', 'C': 'construction site', 'D': 'house', 'E': 'playground'}",8,D,D,D,1
3550839192,what did the baby hold onto,"{'A': 'father', 'B': 'apple', 'C': 'toys', 'D': 'lady', 'E': 'pram table'}",8,C,C,E,0
6895608152,what type of performance is occuring,"{'A': 'ballet', 'B': 'introducing the hall', 'C': 'street performance', 'D': 'wedding', 'E': 'piano'}",8,A,A,A,1
3821781616,where is the man at,"{'A': 'classroom', 'B': 'roadside', 'C': 'mountain', 'D': 'hallway', 'E': 'living room'}",8,E,E,E,1
4942054721,how many goats can be spotted,"{'A': 'eight', 'B': 'two', 'C': 'one', 'D': 'three', 'E': 'four'}",8,A,A,A,1
9213637099,how many people are involved,"{'A': 'six', 'B': 'two', 'C': 'five', 'D': 'seven', 'E': 'one'}",8,A,A,C,0
5561024834,where is the boy hanging out,"{'A': 'bedroom', 'B': 'by a stream', 'C': 'yard', 'D': 'in his backyard', 'E': 'coffee shop'}",8,A,A,A,1
2793260225,what were there two men wearing on their heads,"{'A': 'flowers', 'B': 'streamers', 'C': 'bandages', 'D': 'ribbons', 'E': 'caps'}",8,E,E,E,1
8107573462,where is this place,"{'A': 'bus terminal', 'B': 'theatre', 'C': 'snow field', 'D': 'park', 'E': 'waterfall'}",8,C,C,C,1
7001078933,where is this video taken,"{'A': 'sea', 'B': 'field', 'C': 'mountain top', 'D': 'computer table', 'E': 'snow mountain'}",8,B,B,B,1
3206694342,how many people are on stage,"{'A': 'one', 'B': 'six', 'C': 'three', 'D': 'five', 'E': 'seven'}",8,B,B,B,1
2735019707,what is the relationship between the boy and the man in red,"{'A': 'father daughter', 'B': 'parent offspring', 'C': 'trainer trainee', 'D': 'friends', 'E': 'team member'}",8,B,B,B,1
4130504920,what is the colour of the balloon,"{'A': 'purple', 'B': 'black', 'C': 'brown', 'D': 'white and red', 'E': 'green'}",8,A,A,A,1
4798585428,how many people are posing for the photos,"{'A': 'two', 'B': 'five', 'C': 'six', 'D': 'thirteen', 'E': 'one'}",8,B,B,B,1
4984417707,how many elephants were playing with the ball,"{'A': 'three', 'B': 'six', 'C': 'two', 'D': 'five', 'E': 'one'}",8,C,C,C,1
6860322796,where is this video taken,"{'A': 'by a lake', 'B': 'dancing hall', 'C': 'park', 'D': 'kitchen', 'E': 'computer table'}",8,C,C,C,1
2461993294,what is the relationship between the two performers,"{'A': 'classmates', 'B': 'team member', 'C': 'colleagues', 'D': 'friends', 'E': 'puppet show'}",8,D,D,D,1
4889681401,where are the people cycling,"{'A': 'road', 'B': 'beach', 'C': 'auditorium', 'D': 'bus', 'E': 'living room'}",8,A,A,A,1
5296635780,where is this happening,"{'A': 'backyard', 'B': 'hallway', 'C': 'in the middle of the sea', 'D': 'bowling alley', 'E': 'road'}",8,B,B,B,1
3550839192,what colour is the baby wearing,"{'A': 'yellow', 'B': 'brown', 'C': 'blue', 'D': 'green', 'E': 'pink'}",8,B,B,B,1
6860322796,what is jumping in the snow,"{'A': 'birds', 'B': 'elephants', 'C': 'rabbits', 'D': 'crocodile', 'E': 'dogs'}",8,E,E,E,1
8811725760,what are the people at,"{'A': 'forest', 'B': 'living room', 'C': 'bedroom', 'D': 'park', 'E': 'beach'}",8,D,D,D,1
5237219621,how many people are there,"{'A': 'four', 'B': 'two', 'C': 'six', 'D': 'eleven', 'E': 'five'}",8,B,B,C,0
6253433310,how did the boy protect his eyes,"{'A': 'wear bib', 'B': 'covered with hands', 'C': 'blanket', 'D': 'turn his head to look around', 'E': 'wear swimming goggles'}",8,E,E,E,1
3851961428,what is the relationship between the man wearing red and the boy wearing blue,"{'A': 'parent child', 'B': 'trainer trainee', 'C': 'friends', 'D': 'parents and children', 'E': 'friend'}",8,B,B,B,1
