image,target_class,gt_count,pred_count,tile_counts
0000001_02999_d_0000005.jpg,car,7,7,"[5, 0, 1, 1]"
0000001_03499_d_0000006.jpg,awning-tricycle,1,1,"[1, 0, 0, 0]"
0000001_03999_d_0000007.jpg,motor,5,11,"[2, 4, 2, 3]"
0000001_04527_d_0000008.jpg,motor,1,14,"[0, 0, 2, 12]"
0000001_05249_d_0000009.jpg,car,39,103,"[100, 0, 3, 0]"
0000001_05499_d_0000010.jpg,van,4,0,"[0, 0, 0, 0]"
0000001_05999_d_0000011.jpg,motor,1,0,"[0, 0, 0, 0]"
0000001_07999_d_0000012.jpg,tricycle,3,5,"[3, 0, 2, 0]"
0000001_08414_d_0000013.jpg,car,17,14,"[5, 3, 4, 2]"
0000021_00000_d_0000001.jpg,people,2,8,"[1, 0, 2, 5]"
0000021_00500_d_0000002.jpg,pedestrian,2,4,"[0, 2, 0, 2]"
0000021_00800_d_0000003.jpg,pedestrian,2,4,"[2, 0, 2, 0]"
0000022_00000_d_0000004.jpg,pedestrian,7,1,"[1, 0, 0, 0]"
0000022_00500_d_0000005.jpg,pedestrian,6,19,"[2, 10, 4, 3]"
0000022_01036_d_0000006.jpg,pedestrian,8,12,"[5, 2, 3, 2]"
0000022_01251_d_0000007.jpg,motor,2,0,"[0, 0, 0, 0]"
0000023_00000_d_0000008.jpg,pedestrian,6,1,"[1, 0, 0, 0]"
0000023_00300_d_0000009.jpg,people,5,2,"[0, 0, 0, 2]"
0000023_00868_d_0000010.jpg,pedestrian,10,13,"[1, 10, 2, 0]"
0000023_01233_d_0000011.jpg,motor,2,2,"[0, 0, 2, 0]"
0000024_00000_d_0000012.jpg,pedestrian,9,8,"[0, 3, 5, 0]"
0000024_00500_d_0000013.jpg,motor,3,3,"[1, 0, 2, 0]"
0000024_01000_d_0000014.jpg,pedestrian,3,10,"[3, 5, 2, 0]"
0000024_01543_d_0000015.jpg,pedestrian,7,11,"[3, 2, 4, 2]"
0000026_00000_d_0000024.jpg,van,1,1,"[0, 0, 1, 0]"
0000026_00500_d_0000025.jpg,car,10,13,"[5, 3, 2, 3]"
0000026_01000_d_0000026.jpg,motor,2,19,"[12, 3, 0, 4]"
0000026_01500_d_0000027.jpg,pedestrian,1,1,"[1, 0, 0, 0]"
0000026_02000_d_0000028.jpg,car,9,11,"[3, 4, 1, 3]"
0000026_02500_d_0000029.jpg,van,2,0,"[0, 0, 0, 0]"
0000026_03000_d_0000030.jpg,van,1,1,"[0, 0, 1, 0]"
0000026_03500_d_0000031.jpg,pedestrian,1,1,"[0, 1, 0, 0]"
0000026_04000_d_0000032.jpg,car,12,13,"[3, 2, 3, 5]"
0000026_04500_d_0000033.jpg,tricycle,1,0,"[0, 0, 0, 0]"
0000026_04978_d_0000034.jpg,truck,1,0,"[0, 0, 0, 0]"
0000055_00000_d_0000109.jpg,people,18,5,"[0, 0, 0, 5]"
0000055_00714_d_0000110.jpg,motor,13,2,"[0, 2, 0, 0]"
